City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Grindavik,IS,2021-09-26 13:33:45,63.8424,-22.4338,44.55,81,90,28.77
280,Vila,PT,2021-09-26 13:33:45,42.0304,-8.1588,62.22,75,100,8.68
281,Dombarovskiy,RU,2021-09-26 13:33:46,50.7587,59.5386,58.39,43,100,17.38
282,Nome,US,2021-09-26 13:33:46,64.5011,-165.4064,42.87,76,90,18.41
283,Tottori,JP,2021-09-26 13:33:47,35.5,134.2333,68.38,90,53,1.77
284,Kemijarvi,FI,2021-09-26 13:33:47,66.7131,27.4306,49.44,77,65,6.71
285,Kruisfontein,ZA,2021-09-26 13:33:48,-34.0033,24.7314,67.89,67,59,13.02
286,Samarai,PG,2021-09-26 13:33:48,-10.6167,150.6667,79.32,86,70,11.79
287,Atar,MR,2021-09-26 13:33:48,20.5169,-13.0499,105.53,10,11,9.22
288,Puri,IN,2021-09-26 13:33:49,19.8,85.85,83.37,82,100,20.42
289,Lata,PT,2021-09-26 13:33:49,40.1629,-8.3327,77.49,52,95,6.4
290,Saint-Augustin,CA,2021-09-26 13:33:49,51.226,-58.6502,60.42,85,100,5.14
